"Title","Place[Label]","Place[DBpedia abstract]","Place[DBpedia Page]","Place[Wikipedia Page]","Place[City]","Place[Town]","Place[County]","Place[State]","Place[Region]","Place[Country]","Place[Contained In County]","Place[Contained In State]","Place[Contained In Region]","Place[Contained In Country]","Place[Type of Place]","Place[Freebase Link]","Place[Yago Link]","Place[Geonames Link]","Place[Linkedgeodata Link]","Place[Rdfabout Link]","Place[Homepage]","Place[Latitude]","Place[Longitude]","Place[Coordinates]","Place[Location Source Information]","Free Text"
"11 Pleasant Terrace, Ystrad, Rhondda","11 Pleasant Terrace, Ystrad, Pentre, Rhondda Cynon Taff CF41 7RY, UK",,,,"Ystrad",,"Rhondda Cynon Taff",,,"United Kingdom",,,,,,,,,,,,,,"51.6457728, -3.4671292",,
"150, Main Street, Yaxley","150 Main St, Yaxley, Peterborough, Cambridgeshire PE7 3LB, UK",,"http://dbpedia.org/resource/Yaxley,_Cambridgeshire","http://en.wikipedia.org/wiki/Yaxley,_Cambridgeshire","Yaxley",,"Cambridgeshire",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04b598","http://mpii.de/yago/resource/Yaxley,_Cambridgeshire",,,,,,,"52.5117342, -0.2609302",,
"17 Bruton St.,London,W1,England","17 Bruton St, London, Greater London W1J 6QB, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,"Greater London",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5102849, -0.1448042",,
1980,"1980, South Africa",,,,,,,"Gauteng",,"South Africa",,,,,,,,,,,,,,"-26.5127014, 27.8516564",,
"?1980","1980, South Africa",,,,,,,"Gauteng",,"South Africa",,,,,,,,,,,,,,"-26.5127014, 27.8516564",,
"?1999","1999, 291 91 Kristianstad, Sweden",,,,,,,,,"Sweden",,,,,,,,,,,,,,"55.9615621, 14.0330951",,
"?1999 Mahanoy City, PA","Mahanoy City Rd, PA, USA",,,,,,"Schuylkill","Pennsylvania",,"United States",,,,,,,,,,,,,,"40.8048684, -76.1420098",,
"1st Presby Chur., Canton, Ohio","First Presbyterian Church, Canton, OH 44707, USA",,"http://dbpedia.org/resource/Canton,_Ohio","http://en.wikipedia.org/wiki/Canton,_Ohio","Canton",,"Stark","Ohio",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0z1vw","http://mpii.de/yago/resource/Canton,_Ohio",,,,,,,"40.7995028, -81.3820583",,
"1st Presbyterian, Beaufort, SC","First Presbyterian Church, Beaufort, SC 29902, USA",,"http://dbpedia.org/resource/Beaufort,_South_Carolina","http://en.wikipedia.org/wiki/Beaufort,_South_Carolina","Beaufort",,"Beaufort","South Carolina",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0_kq3",,,,,,,,"32.4332479, -80.6756619",,
"22 Pleasant View, Pentre, Glamorgan","Pleasant View, Rhondda Cynon Taff, UK",,,,,,"Rhondda Cynon Taff",,,"United Kingdom",,,,,,,,,,,,,,"51.6361351, -3.4201708",,
"231 West 16th Street, New York, United States","231 W 16th St, New York, NY 10011, USA",,"http://dbpedia.org/resource/New_York","http://en.wikipedia.org/wiki/New_York","New York",,"New York","New York",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01mf5p","http://mpii.de/yago/resource/New_York",,,"http://www.rdfabout.com/rdf/usgov/geo/us/ny",,,,"40.7405531, -74.0000818",,
"27 Welbech St.,Marylebone,London,England","27 Welbeck St, London, Greater London W1G 8EN, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,"Greater London",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5182372, -0.1494625",,
"27 Ystrad Rd. Ystradyfodwyg",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"284 Madison Av,New York,New York","284 Madison Ave, New York, NY 10017, USA",,"http://dbpedia.org/resource/New_York","http://en.wikipedia.org/wiki/New_York","New York",,"New York","New York",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01mf5p","http://mpii.de/yago/resource/New_York",,,"http://www.rdfabout.com/rdf/usgov/geo/us/ny",,,,"40.751767, -73.980396",,
"28 W 33,New York,New York","28 W 33rd St, New York, NY 10016, USA",,"http://dbpedia.org/resource/New_York","http://en.wikipedia.org/wiki/New_York","New York",,"New York","New York",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01mf5p","http://mpii.de/yago/resource/New_York",,,"http://www.rdfabout.com/rdf/usgov/geo/us/ny",,,,"40.7483729, -73.9866353",,
"33, Middletons Road, Yaxley","33 Middletons Rd, Yaxley, Peterborough, Cambridgeshire PE7 3LR, UK",,"http://dbpedia.org/resource/Yaxley,_Cambridgeshire","http://en.wikipedia.org/wiki/Yaxley,_Cambridgeshire","Yaxley",,"Cambridgeshire",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04b598","http://mpii.de/yago/resource/Yaxley,_Cambridgeshire",,,,,,,"52.5149499, -0.2570594",,
"36 Ystrad Rd, Pentre, Ystradyfodwyg",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"3 Belgrave Sq.,,England","3 Belgrave Square, City of Westminster, SW1X, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,"Greater London","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5000834, -0.1540802",,
"416 Fulham Rd. Fulham, London","416 Fulham Rd, White City, London Borough of Hammersmith and Fulham, SW6, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,"Greater London","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.4797849, -0.1988188",,
"59 Ystrad Rd. Ystradyfodwyg",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"5 weeks old","Weeks Landing, Old Town, FL 32680, USA",,,,,,"Dixie","Florida",,"United States",,,,,,,,,,,,,,"29.4071057, -83.0382877",,
